Pent04,4 post Pentecostem,4th Sunday after Pentecost,874,332,,727,,,708,512
Pent05,5 post Pentecostem,5th Sunday after Pentecost,396,1226,,797,,,143,574
Pent06,6 post Pentecostem,6th Sunday after Pentecost,522,1046,,239,,,265,1079
Pent07,7 post Pentecostem,7th Sunday after Pentecost,1136,1022,,77,,,675,339
Pent08,8 post Pentecostem,8th Sunday after Pentecost,1254,886,,709,,,1080,1203
Pent09,9 post Pentecostem,9th Sunday after Pentecost,1357,1205,,879,,,591,798
Pent10,10 post Pentecostem,10th Sunday after Pentecost,299,1088,,1052,,,962,1221
Pent11,11 post Pentecostem,11th Sunday after Pentecost,1026,865,,580,,,648,1145
Pent12,12 post Pentecostem,12th Sunday after Pentecost,501,1182,,1082,,,325,1245
Pent13,13 post Pentecostem,13th Sunday after Pentecost,691,1232,,820,,,967,388
Pent14,14 post Pentecostem,14th Sunday after Pentecost,1071,547,,1246,,,747,868
Pent15,15 post Pentecostem,15th Sunday after Pentecost,1165,1338,,1352,,,182,782
Pent16,16 post Pentecostem,16th Sunday after Pentecost,335,1173,,1077,,,993,1318
Pent17,17 post Pentecostem,17th Sunday after Pentecost,1284,1044,,595,,,652,1134
Pent18,18 post Pentecostem,18th Sunday after Pentecost,172,1011,,1097,,,838,404
Pent19,19 post Pentecostem,19th Sunday after Pentecost,389,44,,1192,,,616,479
Pent20,20 post Pentecostem,20th Sunday after Pentecost,1056,1230,,745,,,812,696
Pent21,21 post Pentecostem,21st Sunday after Pentecost,1047,1108,,1380,,,1363,1290
Pent22,22 post Pentecostem,22nd Sunday after Pentecost,1271,614,,933,,,67,464
Pent23,23 (usque ad postrema) post Pentecostem,23rd (through last) Sunday after Pentecost,735,395,,331,,,986,592
ChristusRex,Domini Nostri Jesu Christi Regis,"Feast of Our Lord Jesus Christ, King",128,583,,746,,,390,1229
